methods: {'agent_full_qwen14b': 1429, 'agent_full_qwen72b': 1431, 'hybrid_static': 1319, 'hybrid_rules': 1319, 'cons_aiwp': 1319, 'cons_bc': 1431}
                  stratum             method  lead    n  track_km  track_med_km  vmax_mae_kt  vmax_bias_kt  n_storms
              ri=RI-event          cons_aiwp    48   87      76.9          62.6         62.9         -62.9        44
              ri=RI-event            cons_bc    48   87      92.6          78.0         33.4         -29.9        44
              ri=RI-event agent_full_qwen14b    72   79     148.8         109.0         26.5         -17.3        41
              ri=RI-event agent_full_qwen72b    72   79     154.2         114.4         27.0         -18.8        41
              ri=RI-event      hybrid_static    72   79     128.9          76.6         27.7         -20.7        41
              ri=RI-event       hybrid_rules    72   79     128.9          76.6         27.7         -20.7        41
              ri=RI-event          cons_aiwp    72   79     128.9          76.6         52.6         -52.6        41
              ri=RI-event            cons_bc    72   79     155.1         116.6         27.7         -20.7        41
      spread24=spread-low agent_full_qwen14b    24  395      45.6          39.3         13.2          -2.7       112
      spread24=spread-low agent_full_qwen72b    24  395      46.5          39.9         13.4          -2.0       112
      spread24=spread-low      hybrid_static    24  395      45.4          38.3         13.1          -0.7       112
      spread24=spread-low       hybrid_rules    24  395      45.4          38.3         13.2           0.3       112
      spread24=spread-low          cons_aiwp    24  395      45.4          38.3         31.8         -31.6       112
      spread24=spread-low            cons_bc    24  395      45.8          39.6         13.1          -0.7       112
      spread24=spread-low agent_full_qwen14b    48  366      92.7          65.6         17.5          -1.5       103
      spread24=spread-low agent_full_qwen72b    48  366      94.3          67.8         16.9          -1.8       103
      spread24=spread-low      hybrid_static    48  366      92.2          60.3         17.9          -0.8       103
      spread24=spread-low       hybrid_rules    48  366      92.2          60.3         17.9          -0.8       103
      spread24=spread-low          cons_aiwp    48  366      92.2          60.3         31.2         -30.9       103
      spread24=spread-low            cons_bc    48  366      95.6          66.9         17.9          -0.8       103
      spread24=spread-low agent_full_qwen14b    72  326     182.3         105.9         19.3           0.7        95
      spread24=spread-low agent_full_qwen72b    72  326     183.8         112.6         17.9          -1.5        95
      spread24=spread-low      hybrid_static    72  326     188.8          97.4         19.1           0.3        95
      spread24=spread-low       hybrid_rules    72  326     188.8          97.4         19.1           0.3        95
      spread24=spread-low          cons_aiwp    72  326     188.8          97.4         28.9         -28.5        95
      spread24=spread-low            cons_bc    72  326     188.4         112.4         19.1           0.3        95
      spread24=spread-mid agent_full_qwen14b    24  449      49.8          43.0         13.4          -1.8       134
      spread24=spread-mid agent_full_qwen72b    24  449      51.5          44.9         13.3          -1.6       134
      spread24=spread-mid      hybrid_static    24  449      47.6          40.8         12.6           0.6       134
      spread24=spread-mid       hybrid_rules    24  449      47.6          40.8         12.3           2.1       134
      spread24=spread-mid          cons_aiwp    24  449      47.6          40.8         27.9         -27.6       134
      spread24=spread-mid            cons_bc    24  449      50.8          45.2         12.6           0.6       134
      spread24=spread-mid agent_full_qwen14b    48  410     114.9          75.6         17.9          -0.4       124
      spread24=spread-mid agent_full_qwen72b    48  410     116.9          79.7         17.9          -0.5       124
      spread24=spread-mid      hybrid_static    48  410     111.3          67.3         17.2           0.3       124
      spread24=spread-mid       hybrid_rules    48  410     111.3          67.3         17.2           0.3       124
      spread24=spread-mid          cons_aiwp    48  410     111.3          67.3         28.7         -28.2       124
      spread24=spread-mid            cons_bc    48  410     118.6          82.1         17.2           0.3       124
      spread24=spread-mid agent_full_qwen14b    72  338     185.4         114.7         19.0           0.8       101
      spread24=spread-mid agent_full_qwen72b    72  338     194.2         126.3         18.4          -0.7       101
      spread24=spread-mid      hybrid_static    72  338     189.5         102.7         18.5           0.7       101
      spread24=spread-mid       hybrid_rules    72  338     189.5         102.7         18.5           0.7       101
      spread24=spread-mid          cons_aiwp    72  338     189.5         102.7         28.3         -27.5       101
      spread24=spread-mid            cons_bc    72  338     198.7         128.1         18.5           0.7       101
     spread24=spread-high agent_full_qwen14b    24  473     119.7          76.3         11.1          -0.3       132
     spread24=spread-high agent_full_qwen72b    24  473     122.6          79.5         11.9          -0.4       132
     spread24=spread-high      hybrid_static    24  473     117.8          58.9         10.6           3.3       132
     spread24=spread-high       hybrid_rules    24  473     117.8          58.9         10.6           3.7       132
     spread24=spread-high          cons_aiwp    24  473     117.8          58.9         19.5         -19.1       132
     spread24=spread-high            cons_bc    24  473     127.1          80.1         10.6           3.3       132
     spread24=spread-high agent_full_qwen14b    48  360     187.9         108.8         14.6           1.8       110
     spread24=spread-high agent_full_qwen72b    48  360     193.5         115.1         14.3           0.6       110
     spread24=spread-high      hybrid_static    48  360     181.2          89.8         13.8           4.2       110
     spread24=spread-high       hybrid_rules    48  360     181.2          89.8         13.7           4.1       110
     spread24=spread-high          cons_aiwp    48  360     181.2          89.8         20.1         -19.9       110
     spread24=spread-high            cons_bc    48  360     200.4         120.3         13.8           4.2       110
     spread24=spread-high agent_full_qwen14b    72  271     288.2         151.2         16.6           2.3        87
     spread24=spread-high agent_full_qwen72b    72  271     292.1         161.3         15.8          -0.1        87
     spread24=spread-high      hybrid_static    72  271     284.6         131.3         15.5           3.0        87
     spread24=spread-high       hybrid_rules    72  271     284.6         131.3         15.5           2.9        87
     spread24=spread-high          cons_aiwp    72  271     284.6         131.3         21.5         -21.2        87
     spread24=spread-high            cons_bc    72  271     305.1         163.2         15.5           3.0        87
wrote /data/yuxiaoning/projects/stormdesk_runtime/results/test_breakdowns.csv
